time,id,x,y,angle,speed,lane
11.2,carflow2_0.0,924.25,4.8,270.0,12.95,4
11.2,carflow2_1.0,881.4,4.8,270.0,14.68,4
11.2,carflow3_0.0,920.74,8.0,270.0,15.01,5
11.2,carflow3_1.0,885.98,8.0,270.0,14.03,5
11.2,carflowV2I_0.0,22.58,-1.6,90.0,8.33,2
11.2,carflowV2I_1.0,116.04,-1.6,90.0,14.3,2
11.2,carflowV2I_2.0,898.49,1.6,270.0,11.48,3
11.2,carflowV2I_3.0,958.21,4.8,270.0,11.96,4
11.3,carflow0_0.0,62.31,-8.0,90.0,12.94,0
11.3,carflow0_1.0,94.36,-8.0,90.0,12.26,0
11.3,carflow1_0.0,82.63,-4.8,90.0,11.89,1
11.3,carflow1_1.0,50.88,-4.8,90.0,12.95,1
11.3,carflow2_0.0,922.94,4.8,270.0,13.01,4
11.3,carflow2_1.0,879.94,4.8,270.0,14.61,4
11.3,carflow3_0.0,919.24,8.0,270.0,15.01,5
11.3,carflow3_1.0,884.58,8.0,270.0,14.0,5
11.3,carflowV2I_0.0,23.44,-1.6,90.0,8.56,2
11.3,carflowV2I_1.0,117.46,-1.6,90.0,14.21,2
11.3,carflowV2I_2.0,897.33,1.6,270.0,11.52,3
11.3,carflowV2I_3.0,957.0,4.8,270.0,12.11,4
11.4,carflow0_0.0,63.61,-8.0,90.0,13.0,0
11.4,carflow0_1.0,95.59,-8.0,90.0,12.3,0
11.4,carflow1_0.0,83.82,-4.8,90.0,11.85,1
11.4,carflow1_1.0,52.19,-4.8,90.0,13.13,1
11.4,carflow2_0.0,921.65,4.8,270.0,12.95,4
11.4,carflow2_1.0,878.48,4.8,270.0,14.64,4
11.4,carflow3_0.0,917.74,8.0,270.0,15.02,5
11.4,carflow3_1.0,883.18,8.0,270.0,14.03,5
11.4,carflowV2I_0.0,24.32,-1.6,90.0,8.79,2
11.4,carflowV2I_1.0,118.89,-1.6,90.0,14.3,2
11.4,carflowV2I_2.0,896.18,1.6,270.0,11.54,3
11.4,carflowV2I_3.0,955.77,4.8,270.0,12.29,4
11.5,carflow0_0.0,64.9,-8.0,90.0,12.97,0
11.5,carflow0_1.0,96.81,-8.0,90.0,12.26,0
11.5,carflow1_0.0,85.0,-4.8,90.0,11.9,1
11.5,carflow1_1.0,53.52,-4.8,90.0,13.27,1
11.5,carflow2_0.0,920.35,4.8,270.0,12.97,4
11.5,carflow2_1.0,877.02,4.8,270.0,14.6,4
11.5,carflow3_0.0,916.24,8.0,270.0,14.98,5
11.5,carflow3_1.0,881.78,8.0,270.0,13.92,5
11.5,carflowV2I_0.0,25.21,-1.6,90.0,8.98,2
11.5,carflowV2I_1.0,120.31,-1.6,90.0,14.19,2
11.5,carflowV2I_2.0,895.03,1.6,270.0,11.49,3
11.5,carflowV2I_3.0,954.52,4.8,270.0,12.46,4
11.6,carflow0_0.0,66.2,-8.0,90.0,13.0,0
11.6,carflow0_1.0,98.04,-8.0,90.0,12.24,0
11.6,carflow1_0.0,86.19,-4.8,90.0,11.83,1
11.6,carflow1_1.0,54.87,-4.8,90.0,13.52,1
11.6,carflow2_0.0,919.05,4.8,270.0,12.99,4
11.6,carflow2_1.0,875.55,4.8,270.0,14.64,4
11.6,carflow3_0.0,914.74,8.0,270.0,15.03,5
11.6,carflow3_1.0,880.38,8.0,270.0,14.01,5
11.6,carflowV2I_0.0,26.13,-1.6,90.0,9.12,2
11.6,carflowV2I_1.0,121.73,-1.6,90.0,14.24,2
11.6,carflowV2I_2.0,893.88,1.6,270.0,11.53,3
11.6,carflowV2I_3.0,953.25,4.8,270.0,12.7,4
11.7,carflow0_0.0,67.5,-8.0,90.0,13.01,0
11.7,carflow0_1.0,99.26,-8.0,90.0,12.22,0
11.7,carflow1_0.0,87.37,-4.8,90.0,11.78,1
11.7,carflow1_1.0,56.25,-4.8,90.0,13.75,1
11.7,carflow2_0.0,917.75,4.8,270.0,12.98,4
11.7,carflow2_1.0,874.09,4.8,270.0,14.6,4
11.7,carflow3_0.0,913.24,8.0,270.0,14.95,5
11.7,carflow3_1.0,878.99,8.0,270.0,13.97,5
11.7,carflowV2I_0.0,27.05,-1.6,90.0,9.27,2
11.7,carflowV2I_1.0,123.15,-1.6,90.0,14.24,2
11.7,carflowV2I_2.0,892.74,1.6,270.0,11.43,3
11.7,carflowV2I_3.0,951.96,4.8,270.0,12.89,4
11.8,carflow0_0.0,68.8,-8.0,90.0,13.0,0
11.8,carflow0_1.0,100.49,-8.0,90.0,12.29,0
11.8,carflow1_0.0,88.55,-4.8,90.0,11.86,1
11.8,carflow1_1.0,57.64,-4.8,90.0,13.92,1
11.8,carflow2_0.0,916.45,4.8,270.0,13.01,4
11.8,carflow2_1.0,872.62,4.8,270.0,14.7,4
11.8,carflow3_0.0,911.74,8.0,270.0,15.04,5
11.8,carflow3_1.0,877.59,8.0,270.0,13.91,5
11.8,carflowV2I_0.0,28.0,-1.6,90.0,9.48,2
11.8,carflowV2I_1.0,124.58,-1.6,90.0,14.23,2
11.8,carflowV2I_2.0,891.59,1.6,270.0,11.42,3
11.8,carflowV2I_3.0,950.65,4.8,270.0,13.09,4
11.9,carflow0_0.0,70.1,-8.0,90.0,12.97,0
11.9,carflow0_1.0,101.72,-8.0,90.0,12.28,0
11.9,carflow1_0.0,89.73,-4.8,90.0,11.8,1
11.9,carflow1_1.0,59.05,-4.8,90.0,14.15,1
11.9,carflow2_0.0,915.16,4.8,270.0,12.92,4
11.9,carflow2_1.0,871.16,4.8,270.0,14.62,4
11.9,carflow3_0.0,910.24,8.0,270.0,14.94,5
11.9,carflow3_1.0,876.2,8.0,270.0,14.0,5
11.9,carflowV2I_0.0,28.97,-1.6,90.0,9.73,2
11.9,carflowV2I_1.0,126.01,-1.6,90.0,14.28,2
11.9,carflowV2I_2.0,890.44,1.6,270.0,11.52,3
11.9,carflowV2I_3.0,949.33,4.8,270.0,13.24,4
12.0,carflow0_0.0,71.4,-8.0,90.0,13.01,0
12.0,carflow0_1.0,102.94,-8.0,90.0,12.23,0
12.0,carflow1_0.0,90.92,-4.8,90.0,11.85,1
12.0,carflow1_1.0,60.49,-4.8,90.0,14.32,1
12.0,carflow2_0.0,913.87,4.8,270.0,12.95,4
12.0,carflow2_1.0,869.7,4.8,270.0,14.65,4
12.0,carflow3_0.0,908.74,8.0,270.0,15.02,5
12.0,carflow3_1.0,874.79,8.0,270.0,14.03,5
12.0,carflowV2I_0.0,29.96,-1.6,90.0,9.91,2
12.0,carflowV2I_1.0,127.43,-1.6,90.0,14.26,2
12.0,carflowV2I_2.0,889.3,1.6,270.0,11.44,3
12.0,carflowV2I_3.0,947.99,4.8,270.0,13.38,4
12.1,carflow0_0.0,72.7,-8.0,90.0,12.96,0
12.1,carflow0_1.0,104.16,-8.0,90.0,12.19,0
12.1,carflow1_0.0,92.1,-4.8,90.0,11.86,1
12.1,carflow1_1.0,61.94,-4.8,90.0,14.57,1
12.1,carflow2_0.0,912.58,4.8,270.0,12.91,4
12.1,carflow2_1.0,868.23,4.8,270.0,14.65,4
12.1,carflow3_0.0,907.24,8.0,270.0,15.03,5
12.1,carflow3_1.0,873.39,8.0,270.0,14.01,5
12.1,carflowV2I_0.0,30.97,-1.6,90.0,10.08,2
12.1,carflowV2I_1.0,128.85,-1.6,90.0,14.22,2
12.1,carflowV2I_2.0,888.15,1.6,270.0,11.53,3
12.1,carflowV2I_3.0,946.64,4.8,270.0,13.51,4
12.2,carflow0_0.0,73.99,-8.0,90.0,12.94,0
12.2,carflow0_1.0,105.38,-8.0,90.0,12.25,0
12.2,carflow1_0.0,93.28,-4.8,90.0,11.77,1
12.2,carflow1_1.0,63.4,-4.8,90.0,14.53,1
12.2,carflow2_0.0,911.28,4.8,270.0,12.92,4
12.2,carflow2_1.0,866.76,4.8,270.0,14.68,4
12.2,carflow3_0.0,905.74,8.0,270.0,15.01,5
12.2,carflow3_1.0,872.0,8.0,270.0,13.92,5
12.2,carflowV2I_0.0,32.0,-1.6,90.0,10.27,2
12.2,carflowV2I_1.0,130.28,-1.6,90.0,14.25,2
