time,id,x,y,angle,speed,lane
6.0,carflow2_2.0,17.84,-1.6,90.0,7.01,2
6.1,carflow1_1.0,42.27,-4.8,90.0,11.69,1
6.1,carflow1_2.0,17.91,-4.8,90.0,7.1,1
6.1,carflow2_1.0,44.77,-1.6,90.0,12.37,2
6.1,carflow2_2.0,18.56,-1.6,90.0,7.24,2
6.2,carflow1_1.0,43.46,-4.8,90.0,11.94,1
6.2,carflow1_2.0,18.63,-4.8,90.0,7.27,1
6.2,carflow2_1.0,46.02,-1.6,90.0,12.51,2
6.2,carflow2_2.0,19.3,-1.6,90.0,7.37,2
6.3,carflow1_1.0,44.68,-4.8,90.0,12.11,1
6.3,carflow1_2.0,19.38,-4.8,90.0,7.47,1
6.3,carflow2_1.0,47.3,-1.6,90.0,12.77,2
6.3,carflow2_2.0,20.05,-1.6,90.0,7.56,2
6.4,carflow1_1.0,45.9,-4.8,90.0,12.25,1
6.4,carflow1_2.0,20.14,-4.8,90.0,7.62,1
6.4,carflow2_1.0,48.59,-1.6,90.0,12.92,2
6.4,carflow2_2.0,20.83,-1.6,90.0,7.71,2
6.5,carflow1_1.0,47.15,-4.8,90.0,12.5,1
6.5,carflow1_2.0,20.92,-4.8,90.0,7.81,1
6.5,carflow2_1.0,49.9,-1.6,90.0,13.08,2
6.5,carflow2_2.0,21.62,-1.6,90.0,7.94,2
6.6,carflow1_1.0,48.42,-4.8,90.0,12.67,1
6.6,carflow1_2.0,21.72,-4.8,90.0,8.01,1
6.6,carflow2_1.0,51.23,-1.6,90.0,13.27,2
6.6,carflow2_2.0,22.43,-1.6,90.0,8.12,2
6.7,carflow1_1.0,49.71,-4.8,90.0,12.9,1
6.7,carflow1_2.0,22.54,-4.8,90.0,8.21,1
6.7,carflow2_1.0,52.57,-1.6,90.0,13.49,2
6.7,carflow2_2.0,23.26,-1.6,90.0,8.32,2
6.8,carflow1_1.0,51.02,-4.8,90.0,13.14,1
6.8,carflow1_2.0,23.38,-4.8,90.0,8.35,1
6.8,carflow2_1.0,53.94,-1.6,90.0,13.65,2
6.8,carflow2_2.0,24.11,-1.6,90.0,8.49,2
6.9,carflow1_1.0,52.35,-4.8,90.0,13.28,1
6.9,carflow1_2.0,24.24,-4.8,90.0,8.58,1
6.9,carflow2_1.0,55.32,-1.6,90.0,13.82,2
6.9,carflow2_2.0,24.98,-1.6,90.0,8.64,2
7.0,carflow1_1.0,53.69,-4.8,90.0,13.41,1
7.0,carflow1_2.0,25.12,-4.8,90.0,8.81,1
7.0,carflow2_1.0,56.72,-1.6,90.0,13.95,2
7.0,carflow2_2.0,25.86,-1.6,90.0,8.86,2
7.1,carflow1_1.0,55.05,-4.8,90.0,13.61,1
7.1,carflow1_2.0,26.02,-4.8,90.0,9.0,1
7.1,carflow2_1.0,58.13,-1.6,90.0,14.16,2
7.1,carflow2_2.0,26.76,-1.6,90.0,9.02,2
7.2,carflow1_1.0,56.44,-4.8,90.0,13.85,1
7.2,carflow1_2.0,26.94,-4.8,90.0,9.22,1
7.2,carflow2_1.0,59.57,-1.6,90.0,14.38,2
7.2,carflow2_2.0,27.69,-1.6,90.0,9.26,2
7.3,carflow1_1.0,57.83,-4.8,90.0,13.94,1
7.3,carflow1_2.0,27.89,-4.8,90.0,9.46,1
7.3,carflow2_1.0,61.03,-1.6,90.0,14.6,2
7.3,carflow2_2.0,28.63,-1.6,90.0,9.39,2
7.4,carflow1_1.0,59.23,-4.8,90.0,14.0,1
7.4,carflow1_2.0,28.86,-4.8,90.0,9.71,1
7.4,carflow2_1.0,62.49,-1.6,90.0,14.59,2
7.4,carflow2_2.0,29.58,-1.6,90.0,9.53,2
7.5,carflow1_1.0,60.62,-4.8,90.0,13.93,1
7.5,carflow1_2.0,29.85,-4.8,90.0,9.89,1
7.5,carflow2_1.0,63.96,-1.6,90.0,14.72,2
7.5,carflow2_2.0,30.56,-1.6,90.0,9.74,2
7.6,carflow1_1.0,62.02,-4.8,90.0,13.97,1
7.6,carflow1_2.0,30.85,-4.8,90.0,10.05,1
7.6,carflow2_1.0,65.43,-1.6,90.0,14.66,2
7.6,carflow2_2.0,31.56,-1.6,90.0,9.99,2
7.7,carflow1_1.0,63.42,-4.8,90.0,14.03,1
7.7,carflow1_2.0,31.87,-4.8,90.0,10.2,1
7.7,carflow2_1.0,66.89,-1.6,90.0,14.6,2
7.7,carflow2_2.0,32.57,-1.6,90.0,10.19,2
7.8,carflow1_1.0,64.82,-4.8,90.0,13.99,1
7.8,carflow1_2.0,32.91,-4.8,90.0,10.39,1
7.8,carflow2_1.0,68.36,-1.6,90.0,14.71,2
7.8,carflow2_2.0,33.62,-1.6,90.0,10.41,2
7.9,carflow1_1.0,66.22,-4.8,90.0,14.01,1
7.9,carflow1_2.0,33.97,-4.8,90.0,10.61,1
7.9,carflow2_1.0,69.82,-1.6,90.0,14.63,2
7.9,carflow2_2.0,34.68,-1.6,90.0,10.65,2
8.0,carflow1_1.0,67.62,-4.8,90.0,13.96,1
8.0,carflow1_2.0,35.05,-4.8,90.0,10.76,1
8.0,carflow2_1.0,71.29,-1.6,90.0,14.7,2
8.0,carflow2_2.0,35.77,-1.6,90.0,10.9,2
8.1,carflow1_1.0,69.02,-4.8,90.0,14.02,1
8.1,carflow1_2.0,36.14,-4.8,90.0,10.94,1
8.1,carflow2_1.0,72.76,-1.6,90.0,14.64,2
8.1,carflow2_2.0,36.88,-1.6,90.0,11.05,2
8.2,carflow1_1.0,70.42,-4.8,90.0,13.93,1
8.2,carflow1_2.0,37.25,-4.8,90.0,11.07,1
8.2,carflow2_1.0,74.22,-1.6,90.0,14.67,2
8.2,carflow2_2.0,38.0,-1.6,90.0,11.28,2
8.3,carflow1_1.0,71.81,-4.8,90.0,13.94,1
8.3,carflow1_2.0,38.38,-4.8,90.0,11.3,1
8.3,carflow2_1.0,75.68,-1.6,90.0,14.61,2
8.3,carflow2_2.0,39.15,-1.6,90.0,11.51,2
8.4,carflow1_1.0,73.2,-4.8,90.0,13.94,1
8.4,carflow1_2.0,39.53,-4.8,90.0,11.47,1
8.4,carflow2_1.0,77.15,-1.6,90.0,14.63,2
8.4,carflow2_2.0,40.33,-1.6,90.0,11.74,2
8.5,carflow1_1.0,74.6,-4.8,90.0,13.99,1
8.5,carflow1_2.0,40.69,-4.8,90.0,11.69,1
8.5,carflow2_1.0,78.62,-1.6,90.0,14.69,2
8.5,carflow2_2.0,41.52,-1.6,90.0,11.88,2
8.6,carflow1_1.0,76.0,-4.8,90.0,13.96,1
8.6,carflow1_2.0,41.88,-4.8,90.0,11.85,1
8.6,carflow2_1.0,80.09,-1.6,90.0,14.71,2
8.6,carflow2_2.0,42.73,-1.6,90.0,12.12,2
8.7,carflow1_1.0,77.39,-4.8,90.0,13.95,1
8.7,carflow1_2.0,43.08,-4.8,90.0,12.0,1
8.7,carflow2_1.0,81.56,-1.6,90.0,14.72,2
8.7,carflow2_2.0,43.95,-1.6,90.0,12.26,2
8.8,carflow1_1.0,78.79,-4.8,90.0,14.0,1
8.8,carflow1_2.0,44.29,-4.8,90.0,12.15,1
8.8,carflow2_1.0,83.03,-1.6,90.0,14.72,2
8.8,carflow2_2.0,45.2,-1.6,90.0,12.46,2
8.9,carflow1_1.0,80.19,-4.8,90.0,13.97,1
8.9,carflow1_2.0,45.53,-4.8,90.0,12.34,1
8.9,carflow2_1.0,84.5,-1.6,90.0,14.67,2
8.9,carflow2_2.0,46.47,-1.6,90.0,12.72,2
9.0,carflow1_1.0,81.58,-4.8,90.0,13.91,1
9.0,carflow1_2.0,46.79,-4.8,90.0,12.6,1
9.0,carflow2_1.0,85.96,-1.6,90.0,14.63,2
9.0,carflow2_2.0,47.76,-1.6,90.0,12.89,2
9.1,carflow1_1.0,82.98,-4.8,90.0,14.03,1
9.1,carflow1_2.0,48.07,-4.8,90.0,12.82,1
9.1,carflow2_1.0,87.42,-1.6,90.0,14.62,2
9.1,carflow2_2.0,49.06,-1.6,90.0,12.99,2
9.2,carflow1_1.0,84.38,-4.8,90.0,13.97,1
9.2,carflow1_2.0,49.37,-4.8,90.0,12.98,1
9.2,carflow2_1.0,88.89,-1.6,90.0,14.65,2
9.2,carflow2_2.0,50.36,-1.6,90.0,12.95,2
9.3,carflow1_1.0,85.77,-4.8,90.0,13.94,1
9.3,carflow1_2.0,50.69,-4.8,90.0,13.19,1
9.3,carflow2_1.0,90.36,-1.6,90.0,14.72,2
9.3,carflow2_2.0,51.66,-1.6,90.0,13.01,2
9.4,carflow1_1.0,87.17,-4.8,90.0,13.95,1
9.4,carflow1_2.0,52.03,-4.8,90.0,13.42,1
9.4,carflow2_1.0,91.82,-1.6,90.0,14.63,2
9.4,carflow2_2.0,52.95,-1.6,90.0,12.95,2
9.5,carflow1_1.0,88.57,-4.8,90.0,14.0,1
9.5,carflow1_2.0,53.39,-4.8,90.0,13.64,1
9.5,carflow2_1.0,93.28,-1.6,90.0,14.61,2
9.5,carflow2_2.0,54.25,-1.6,90.0,12.94,2
9.6,carflow1_1.0,89.97,-4.8,90.0,13.99,1
9.6,carflow1_2.0,54.78,-4.8,90.0,13.84,1
9.6,carflow2_1.0,94.75,-1.6,90.0,14.61,2
9.6,carflow2_2.0,55.55,-1.6,90.0,12.99,2
9.7,carflow1_1.0,91.37,-4.8,90.0,14.02,1
9.7,carflow1_2.0,56.18,-4.8,90.0,13.99,1
9.7,carflow2_1.0,96.2,-1.6,90.0,14.6,2
9.7,carflow2_2.0,56.84,-1.6,90.0,12.94,2
9.8,carflow1_1.0,92.77,-4.8,90.0,13.99,1
9.8,carflow1_2.0,57.59,-4.8,90.0,14.15,1
9.8,carflow2_1.0,97.67,-1.6,90.0,14.63,2
9.8,carflow2_2.0,58.13,-1.6,90.0,12.91,2
9.9,carflow1_1.0,94.16,-4.8,90.0,13.92,1
9.9,carflow1_2.0,59.02,-4.8,90.0,14.29,1
9.9,carflow2_1.0,99.14,-1.6,90.0,14.72,2
9.9,carflow2_2.0,59.42,-1.6,90.0,12.91,2
10.0,carflow1_1.0,95.56,-4.8,90.0,13.95,1
10.0,carflow1_2.0,60.47,-4.8,90.0,14.53,1
10.0,carflow2_1.0,100.5,-1.6,90.0,14.63,2
10.0,carflow2_2.0,60.71,-1.6,90.0,12.91,2
10.1,carflow1_1.0,96.95,-4.8,90.0,13.96,1
10.1,carflow1_2.0,61.94,-4.8,90.0,14.73,1
10.1,carflow2_1.0,101.97,-1.6,90.0,14.68,2
10.1,carflow2_2.0,62.01,-1.6,90.0,12.96,2
10.2,carflow1_1.0,98.35,-4.8,90.0,13.94,1
10.2,carflow1_2.0,63.43,-4.8,90.0,14.89,1
10.2,carflow2_1.0,103.44,-1.6,90.0,14.71,2
10.2,carflow2_2.0,63.31,-1.6,90.0,12.98,2
10.3,carflow1_1.0,99.74,-4.8,90.0,13.93,1
10.3,carflow1_2.0,64.94,-4.8,90.0,15.03,1
10.3,carflow2_1.0,104.91,-1.6,90.0,14.65,2
10.3,carflow2_2.0,64.61,-1.6,90.0,13.0,2
10.4,carflow1_1.0,101.03,-4.8,90.0,13.91,1
10.4,carflow1_2.0,66.44,-4.8,90.0,14.99,1
10.4,carflow2_1.0,106.37,-1.6,90.0,14.67,2
10.4,carflow2_2.0,65.91,-1.6,90.0,13.01,2
10.5,carflow1_1.0,102.43,-4.8,90.0,14.02,1
10.5,carflow1_2.0,67.93,-4.8,90.0,14.98,1
10.5,carflow2_1.0,107.84,-1.6,90.0,14.71,2
10.5,carflow2_2.0,67.2,-1.6,90.0,12.94,2
10.6,carflow1_1.0,103.83,-4.8,90.0,13.96,1
